# index, label, _pos
557,1625,"array([18.36337699, 17.42556883])"
558,186,"array([18.45032633, 17.61659439])"
559,1206,"array([18.40141827, 17.54208583])"
560,1626,"array([18.37368059, 17.66748133])"
561,187,"array([16.91085984, 16.30905558])"
562,1207,"array([16.96092488, 16.39663998])"
563,1627,"array([16.83238702, 16.29080666])"
564,188,"array([19.12411259, 17.71871971])"
565,1208,"array([19.05170721, 17.69361326])"
566,1628,"array([19.22553357, 17.6748259 ])"
567,189,"array([17.92842127, 16.49572444])"
568,1209,"array([17.84777978, 16.44572424])"
569,1629,"array([17.94333402, 16.58918354])"
570,190,"array([16.94095974, 15.76499608])"
571,1210,"array([16.86233511, 15.79090946])"
572,1630,"array([16.98783046, 15.85349313])"
573,191,"array([18.76384212, 16.56676546])"
574,1211,"array([18.80045754, 16.6524517 ])"
575,1631,"array([18.81250137, 16.48640165])"
576,192,"array([20.0170958 , 16.57052589])"
577,1212,"array([19.98236419, 16.67371536])"
578,1632,"array([20.08686195, 16.49736537])"
579,193,"array([17.52313481, 17.14886156])"
580,1213,"array([17.61096132, 17.20098969])"
581,1633,"array([17.50279723, 17.05459833])"
582,194,"array([19.32476272, 17.00040027])"
583,1214,"array([19.29116847, 17.09038138])"
584,1634,"array([19.25336169, 16.94700883])"
585,195,"array([18.53583302, 16.04990805])"
586,1215,"array([18.60446631, 16.11376009])"
587,1635,"array([18.44135947, 16.07097581])"
588,196,"array([17.14220175, 16.71843517])"
589,1216,"array([17.21868625, 16.68325529])"
590,1636,"array([17.06830531, 16.65126955])"
591,197,"array([18.20950172, 15.29651389])"
592,1217,"array([18.11279323, 15.29741535])"
593,1637,"array([18.27697555, 15.22255539])"
594,198,"array([20.03047158, 16.46405966])"
595,1218,"array([20.06080399, 16.36295617])"
596,1638,"array([20.05102206, 16.55898142])"
597,199,"array([17.998627  , 16.67302889])"
598,1219,"array([17.92572289, 16.60879442])"
599,1639,"array([18.09527408, 16.65548368])"
600,200,"array([18.47453485, 16.91046481])"
601,1220,"array([18.50982082, 16.82494112])"
602,1640,"array([18.53788256, 16.98050086])"
603,201,"array([16.662757  , 15.82590557])"
604,1221,"array([16.63084882, 15.918372  ])"
605,1641,"array([16.66631961, 15.71696078])"
606,202,"array([19.78047462, 17.02255154])"
607,1222,"array([19.85623747, 17.02984698])"
608,1642,"array([19.69820084, 17.09150885])"
609,203,"array([16.77124238, 16.73735227])"
610,1223,"array([16.75008456, 16.63222318])"
611,1643,"array([16.73711729, 16.79088121])"
612,204,"array([17.304034  , 16.09108714])"
