# index, label, _pos
515,887,"array([-0.0645076 , -2.68928218])"
516,168,"array([-0.14362855, -2.44450105])"
517,888,"array([-0.09480241, -2.45045508])"
518,169,"array([ 0.0819184 , -1.85602295])"
519,889,"array([ 0.09648834, -1.80797279])"
520,170,"array([-0.22141771, -2.77708168])"
521,890,"array([-0.21161362, -2.82972887])"
522,171,"array([-0.29033805, -1.88963778])"
523,891,"array([-0.30096102, -1.94016852])"
524,172,"array([ 0.04046944, -2.03833537])"
525,892,"array([-0.00610287, -2.02712888])"
526,173,"array([-0.27393536, -2.08633706])"
527,893,"array([-0.22852686, -2.09940951])"
528,174,"array([-0.2097542 , -2.73628935])"
529,894,"array([-0.23572982, -2.76827706])"
530,175,"array([ 0.34127944, -1.58241904])"
531,895,"array([ 0.31593551, -1.62330606])"
532,176,"array([-0.39547529, -2.08562834])"
533,896,"array([-0.40357158, -2.14414766])"
534,177,"array([-0.23109621, -2.57066841])"
535,897,"array([-0.27803637, -2.57041194])"
536,178,"array([-0.30125136, -2.39503715])"
537,898,"array([-0.28295773, -2.34398641])"
538,179,"array([-0.35152922, -2.59056613])"
539,899,"array([-0.37964225, -2.54273071])"
540,180,"array([-0.40285271, -2.43052762])"
541,900,"array([-0.43133953, -2.4548293 ])"
542,1200,"array([-0.394712  , -2.37120843])"
543,181,"array([-0.34175011, -2.04213224])"
544,901,"array([-0.2998902 , -2.03872619])"
545,1201,"array([-0.3705579 , -2.09561954])"
546,182,"array([-0.370408  , -2.22425631])"
547,902,"array([-0.39358831, -2.27599324])"
548,1202,"array([-0.32897304, -2.23468972])"
549,183,"array([-0.32944712, -2.62213212])"
550,903,"array([-0.35190531, -2.56536562])"
551,1203,"array([-0.33129288, -2.67904929])"
552,184,"array([-0.21178009, -2.29448261])"
553,904,"array([-0.22595603, -2.24225459])"
554,1204,"array([-0.16313904, -2.29891545])"
555,185,"array([-0.30008506, -2.77106285])"
556,905,"array([-0.27120362, -2.82385591])"
557,1205,"array([-0.3374133 , -2.73324054])"
558,186,"array([-0.15926727, -2.42727568])"
559,906,"array([-0.1315152 , -2.38187897])"
560,1206,"array([-0.20597345, -2.42109972])"
561,187,"array([-0.05255996, -1.96414149])"
562,907,"array([-0.09092155, -2.00459376])"
563,1207,"array([-0.04827601, -1.91175867])"
564,188,"array([-0.14537459, -2.91148545])"
565,908,"array([-0.18316612, -2.92396763])"
566,1208,"array([-0.09499346, -2.94179505])"
567,189,"array([ 0.17228878, -1.9702554 ])"
568,909,"array([ 0.17879637, -1.91991045])"
569,1209,"array([ 0.12235974, -1.99674972])"
570,190,"array([ 0.21779633, -1.5496959 ])"
