# source, target, MasterNetID, Rank, Interaction_type, Exp_Direct, Exp_Indirect, TaxID_interolog, Source_databases, Reference, Reference_type, Count_direct, Count_indirect, Count_paper, Source_Interolog, Comment
4,827,DM_PPI1740607,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,818,DM_PPI1740608,high,ppi,,MI:0007;MI:0004;MI:0029;MI:0943;MI:0082,,DroID;BioGrid;mentha;FlyBase;IntAct,22036573;21875999;21694722,PMID,0,5,3,,NULL
4,8,DM_PPI1740610,high,ppi,,MI:0943;MI:0096;MI:0705;MI:0676;MI:0082;MI:0007;MI:0113;MI:0004;MI:1022;MI:0027;MI:0029,,DroID;BioGrid;mentha;FlyBase;IntAct,22048023;21875999;21694722,PMID,0,11,3,,NULL
4,11014,DM_PPI_2514784,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,1339,DM_PPI_2514786,low,ppi,MI:0809,,,FlyBase,30247122,PMID,1,0,1,,NULL
4,9119,DM_PPI_3477436,low,ppi,MI:0397,,,FlyBase;IntAct,30995488,PMID,1,0,1,,NULL
5,8,DR_DM_PPI2033537,low,ppi,,MI:0676,,IntAct;mentha,21694722,PMID,0,1,1,,NULL
6,7,DM_DR_PPI1753127,high,ppi,MI:0114,MI:0071,,IntAct;DIP,23893132,PMID,1,1,1,,NULL
6,490,DM_PPI1752923,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,1671,DM_PPI1752924,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,4086,DM_PPI1752925,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,2461,DM_PPI1752926,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,1352,DM_PPI1752927,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,33,DM_PPI1752928,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,6172,DM_PPI1752929,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
6,5319,DM_PPI1752930,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,570,DM_PPI1752931,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,1110,DM_PPI1752932,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,4849,DM_PPI1752933,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,4651,DM_PPI1752934,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,4091,DM_PPI1752935,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,2962,DM_PPI1752936,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,2017,DM_PPI1752937,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,1116,DM_PPI1752938,high,ppi,,MI:0943;MI:0007;MI:0046;MI:0004,,BioGrid;DroID;FlyBase;mentha,23749869;FBrf0218395;22036573,PMID;other,0,4,3,,NULL
6,2020,DM_PPI1752939,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,1118,DM_PPI1752940,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,836,DM_PPI1752941,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,5321,DM_PPI1752942,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,1702,DM_PPI1752943,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,6598,DM_PPI1752944,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,1678,DM_PPI1752945,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,2892,DM_PPI1752946,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,4097,DM_PPI1752947,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,6747,DM_PPI1752948,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,1770,DM_PPI1752949,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,2025,DM_PPI1752950,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,55,DM_PPI1752951,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,4853,DM_PPI1752952,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
6,585,DM_PPI1752953,low,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
